,id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365
1,2595,Skylit Midtown Castle,2845,Manhattan,Midtown,40.75362,-73.98376999999999,Entire home/apt,225,1,45,355
232,59855,One bedroom Apt. in NYC,288031,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,0
245,61509,"Quiet, clean midtown apt w. elevato",23619,Manhattan,Midtown,40.757490000000004,-73.96897,Entire home/apt,110,200,92,140
373,110739,"Very Central, Nomad/Chelsea Loft Studio",568568,Manhattan,Midtown,40.74503,-73.98876,Entire home/apt,169,18,54,98
382,114969,"Manhattan Studio, Perfect Location",582598,Manhattan,Midtown,40.755790000000005,-73.96699,Entire home/apt,145,6,39,0
594,225297,Quiet sunny studio Midtown,1173599,Manhattan,Midtown,40.742670000000004,-73.98569,Entire home/apt,125,4,3,0
618,233662,Large Sunny Luxe Prvt Room/Midtown,1223568,Manhattan,Midtown,40.75575,-73.96842,Private room,110,2,61,264
623,235951,Stylish Studio with exclusive Terrace,1236070,Manhattan,Midtown,40.753479999999996,-73.97065,Entire home/apt,190,30,136,120
754,271694,"Easy, comfortable studio in Midtown",1387370,Manhattan,Midtown,40.75282,-73.97315,Entire home/apt,125,365,19,365
902,328040,"Awesome views, Central location",1676487,Manhattan,Midtown,40.75023,-73.98293000000001,Entire home/apt,299,10,19,101
941,357509,Manhattan -  Best Location in Midtown,684129,Manhattan,Midtown,40.75407,-73.96713000000001,Entire home/apt,110,7,27,192
943,360400,Beautiful Room in Manhattan Loft,1386983,Manhattan,Midtown,40.74553,-73.98943,Private room,135,3,214,167
969,386799,Midtown NYC - 1 Bedroom Apartment,1935605,Manhattan,Midtown,40.76082,-73.97548,Entire home/apt,250,3,116,0
997,403264,Luxury room in Manhattan Duplex Apt,1386983,Manhattan,Midtown,40.7453,-73.99056,Private room,145,3,165,181
1017,413775,Midtown East Sutton Area Entire Apt,2058589,Manhattan,Midtown,40.75816,-73.96457,Entire home/apt,275,2,16,167
1030,424767,"Chic, Spacious Loft + Backyard",2103888,Manhattan,Midtown,40.74406,-73.98273,Entire home/apt,325,2,197,207
1152,490278,Lovely 1BR - Midtown East by metro!,2424873,Manhattan,Midtown,40.75632,-73.96464,Entire home/apt,99,14,30,317
1397,623423,ENTIRE LUXURY MADISON AVE STUDIO,3091205,Manhattan,Midtown,40.74519,-73.98338000000001,Entire home/apt,150,30,0,352
1439,645922,Gorgeous Modern Manhattan Apt,1740784,Manhattan,Midtown,40.74648,-73.98459,Private room,100,3,41,0
1454,652371,ELEGANT MIDTOWN EAST STUDIO E.52 ST,1475015,Manhattan,Midtown,40.75743,-73.96939,Entire home/apt,90,30,3,358
1464,655783,Chic Luxe 1BR 1.5BA 900sf -Midtown ,3301845,Manhattan,Midtown,40.75663,-73.96681,Entire home/apt,285,7,10,0
1539,698094,5th Ave Apartment in Midtown! ,3569392,Manhattan,Midtown,40.762209999999996,-73.97787,Private room,120,4,31,0
1614,732700,Centrally located and spacious apt.,3815537,Manhattan,Midtown,40.751540000000006,-73.97104,Entire home/apt,106,7,10,0
1639,745037,Luxury Locale Sunny 1BR Suite,3906249,Manhattan,Midtown,40.76412,-73.97666,Entire home/apt,170,7,83,203
1670,756892,Clean Bright Midtown Studio by Park,3731320,Manhattan,Midtown,40.75982,-73.96521,Entire home/apt,125,4,3,0
1674,758782,Perfect Midtown Apt E. 50th St,286313,Manhattan,Midtown,40.75383,-73.96777,Entire home/apt,133,6,22,5
1891,839058,Midtown Lux Manhattan by 5th Ave,4383196,Manhattan,Midtown,40.76188,-73.97193,Entire home/apt,269,5,15,0
2146,990529,Sunny Luxury Bedroom Guest Bathroom,5440087,Manhattan,Midtown,40.75136,-73.97076,Private room,349,3,3,87
2214,1039435,"Lovely studio in Manhattan,New York",5709288,Manhattan,Midtown,40.758790000000005,-73.9638,Entire home/apt,220,360,1,0
2241,1059891,"“L l,x w w.     XThank &mftkn.  .",11837926,Manhattan,Midtown,40.76463,-73.98111999999999,Private room,150,7,44,365
2250,1069266,Stay like a real New Yorker!,5867023,Manhattan,Midtown,40.75783,-73.96383,Entire home/apt,145,2,146,148
2349,1142034,Large Flatiron 2 bedroom,1474508,Manhattan,Midtown,40.74658,-73.98846999999999,Entire home/apt,115,2,70,120
2352,1145288,5 STARS***MIDTOWN EAST-BRAND NEW!!!,1475015,Manhattan,Midtown,40.75274,-73.97026,Entire home/apt,110,30,3,365
2389,1171955,Manhattan apt in the centre of it!,4922378,Manhattan,Midtown,40.74568,-73.98321,Entire home/apt,275,7,6,191
2393,1177971,Amazing View from Contemporary Loft,6444977,Manhattan,Midtown,40.74542,-73.98205,Shared room,80,1,66,365
2431,1210916,Stylish apt in the heart of NYC!,2554853,Manhattan,Midtown,40.75099,-73.96994000000001,Entire home/apt,200,1,7,358
2487,1267186,Private room for labor day weekend,6897732,Manhattan,Midtown,40.74331,-73.98351,Private room,110,1,4,0
2527,1304181,beautiful ROOM in a DREAM APARTMENT,7089676,Manhattan,Midtown,40.75728,-73.97152,Private room,50,1,49,14
2567,1331231,"Studio Plus, Hilton Grand Vacation",7220851,Manhattan,Midtown,40.76417,-73.97704,Entire home/apt,350,6,3,351
2606,1357021,MIDTOWN EAST 1BR APARTMENT - NEW,1411399,Manhattan,Midtown,40.75639,-73.96558,Entire home/apt,219,1,78,301
2736,1476238,Spacious Midtown 1BR Apt - 4.5 Stars/21 Reviews,7324189,Manhattan,Midtown,40.76084,-73.96908,Entire home/apt,300,15,6,98
2841,1598785,SUNNY STUDIO MIDTOWN EAST W/DOORMAN,8038118,Manhattan,Midtown,40.7529,-73.97094,Entire home/apt,175,5,116,299
2862,1623431,Enormous Chrysler-View Bedroom/Bath,5440087,Manhattan,Midtown,40.7513,-73.97239,Private room,249,3,1,87
2971,1730937,Private room in Midtown East,9119678,Manhattan,Midtown,40.75622,-73.9728,Private room,119,2,27,325
3028,1781052,CELEBRATE NEW YEAR'S EVE IN NYC,9348961,Manhattan,Midtown,40.764559999999996,-73.98233,Entire home/apt,250,3,1,0
3055,1803165,Huuuge Sunny Central Park REAL 2 bedroom 1.5 baths,9453400,Manhattan,Midtown,40.763909999999996,-73.9782,Entire home/apt,799,6,40,365
3104,1843034,SPECIAL NEW YEAR'S LUXURIOUS MANHATTAN APT,9630447,Manhattan,Midtown,40.76547,-73.97729,Entire home/apt,295,2,0,0
3107,1843955,Spacious Midtown Manhattan room,9634183,Manhattan,Midtown,40.76129,-73.96869000000001,Entire home/apt,280,3,21,98
3108,1844088,Renovated Studio Midtown East,1512462,Manhattan,Midtown,40.7525,-73.96491999999999,Entire home/apt,215,4,130,270
3139,1869202,Cozy & Sunny central Manhattan APT!,5008954,Manhattan,Midtown,40.7582,-73.96692,Entire home/apt,100,2,19,0
3156,1881586,"Spacious, Sunny, 1br in Midtown East with doorman",9795610,Manhattan,Midtown,40.75669,-73.9666,Entire home/apt,225,3,1,0
3158,1881846,Cozy sunny room in the heart of the city,586409,Manhattan,Midtown,40.75375,-73.96556,Private room,130,2,128,294
3180,1897001,"GIANT! Perfect for families, in the center of NYC",9854533,Manhattan,Midtown,40.75463,-73.97062,Entire home/apt,399,5,33,36
3200,1911641,"Modern Midtown Apt, close to MoMA",5032943,Manhattan,Midtown,40.758759999999995,-73.96854,Entire home/apt,175,30,2,342
3234,1932094,"HEART OF NYC! AMAIZING LOCATION!, SUPER ROOM",10001478,Manhattan,Midtown,40.76135,-73.97785,Private room,85,4,29,13
3333,1989838,Luxury 4 BD NYC Times Sq Apartment,3185905,Manhattan,Midtown,40.76316,-73.98109000000001,Entire home/apt,1500,1,0,0
3336,1994398,Spring and Summer in New York - Near Central Park,2719126,Manhattan,Midtown,40.76663,-73.98069,Entire home/apt,345,5,19,192
3357,2012424,Thanksgiving in Manhattan Luxury Suite,275744,Manhattan,Midtown,40.76542,-73.98080999999999,Entire home/apt,175,2,4,0
3370,2021742,Cozy Apt in the heart of Manhattan!,10390993,Manhattan,Midtown,40.74873,-73.98827,Entire home/apt,159,7,0,0
3371,2022126,Midtown Manhattan Apt,10392717,Manhattan,Midtown,40.74897,-73.98265,Private room,500,5,0,0
3404,2043060,"Clean, spacious entire 1br in NYC!",1499286,Manhattan,Midtown,40.763259999999995,-73.98165,Entire home/apt,395,5,37,350
