id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18393354,Midtown Sanctuary,2845,Jennifer,Manhattan,Midtown,40.75358,-73.9919,Shared room,99,1,1,7/18/2018,0.08,2,365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,5/21/2019,0.38,2,355
6751450,Next to Empire State building,7209,Liz,Manhattan,Midtown,40.74642,-73.98516,Entire home/apt,220,3,108,6/21/2019,2.17,1,24
3654511,ROOFTOP SWIMMING-POOL 1/BR APT.,15784,Francesco,Manhattan,Midtown,40.7509,-73.96963,Entire home/apt,250,5,2,8/7/2017,0.04,1,0
61509,"Quiet, clean midtown apt w. elevato",23619,Anna/Fonzy,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,4/30/2019,0.9,1,140
23682503,Private Bedroom in a well-furnished Manhattan Apt,27245,Maryam,Manhattan,Midtown,40.75532,-73.9654,Private room,90,2,15,11/5/2018,0.93,1,0
9864121,Chelsea Studio - great city views,39322,Katrina,Manhattan,Midtown,40.74612,-73.98948,Entire home/apt,145,21,0,,,1,0
8186181,AMAZING LOCATION Large Studio Centrally Located,56350,Steven,Manhattan,Midtown,40.75463,-73.97445,Entire home/apt,124,2,14,6/28/2018,0.42,1,0
35371114,August 25-28 Manhatten! Total suite sleeps 4 or 5.,96019,Ruth,Manhattan,Midtown,40.76527,-73.98139,Private room,299,3,0,,,1,3
2012424,Thanksgiving in Manhattan Luxury Suite,275744,Xander,Manhattan,Midtown,40.76542,-73.98081,Entire home/apt,175,2,4,11/25/2018,0.12,1,0
758782,Perfect Midtown Apt E. 50th St,286313,Kiovanna,Manhattan,Midtown,40.75383,-73.96777,Entire home/apt,133,6,22,6/29/2019,0.33,1,5
59855,One bedroom Apt. in NYC,288031,Leslie,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,1/5/2016,0.78,1,0
9866039,"Modern, Large & Cozy 1 BR NYC Apt",314008,Charline,Manhattan,Midtown,40.75247,-73.97196,Entire home/apt,270,4,8,4/10/2018,0.19,1,0
15564955,Sleep Cosy in an Elegant Midtown East Apartment,437960,Denise,Manhattan,Midtown,40.76135,-73.96645,Private room,230,8,4,4/12/2018,0.17,1,87
110739,"Very Central, Nomad/Chelsea Loft Studio",568568,Driss,Manhattan,Midtown,40.74503,-73.98876,Entire home/apt,169,18,54,7/3/2019,0.57,1,98
114969,"Manhattan Studio, Perfect Location",582598,Andrey,Manhattan,Midtown,40.75579,-73.96699,Entire home/apt,145,6,39,9/24/2018,0.4,1,0
1881846,Cozy sunny room in the heart of the city,586409,Ahmed,Manhattan,Midtown,40.75375,-73.96556,Private room,130,2,128,5/28/2019,1.88,1,294
357509,Manhattan -  Best Location in Midtown,684129,Ellie,Manhattan,Midtown,40.75407,-73.96713,Entire home/apt,110,7,27,3/1/2019,0.31,1,192
36032523,Awesome comfy 1st fl walk up across from subway,743321,Michael,Manhattan,Midtown,40.75747,-73.96892,Entire home/apt,125,7,0,,,1,34
33307926,Short term Queen size sofa-bed in living room,747681,Pro,Manhattan,Midtown,40.76446,-73.98123,Private room,95,3,1,6/16/2019,1,1,5
