,BreedName,Fur,MaleWtKg,AvgKittenPrice,PopularityUS2017
0,Abyssinian,Short,4.0,1050.0,7.0
1,American Curl,Medium,4.0,1400.0,26.0
2,American Shorthair,Short,6.0,900.0,6.0
3,American Wirehair,Medium,6.0,1000.0,41.0
5,Balinese,Long,4.0,1300.0,31.0
7,Birman,Long,5.0,850.0,15.0
8,Bobtail,Medium,6.0,800.0,36.0
9,Bombay,Short,4.0,500.0,34.0
10,British Shorthair,Short,7.0,1750.0,5.0
11,Burmese,Short,5.0,1250.0,16.0
12,Burmilla,Long,5.0,600.0,38.0
14,Canadian Hairless,Bald,5.0,1450.0,8.0
15,Chartreux,Short,6.0,1250.0,27.0
18,Cornish Rex,Short,3.0,1000.0,11.0
20,Devon Rex,Short,3.0,800.0,12.0
26,Egyptian Mau,Medium,5.0,800.0,20.0
27,Exotic Shorthair,Short,5.0,1750.0,1.0
29,Havana,Medium,4.0,900.0,35.0
31,Japanese Bobtail,Long,4.0,800.0,24.0
33,Korat,Long,4.0,600.0,40.0
34,LaPerm,Long,4.0,500.0,39.0
35,Maine Coon,Long,7.0,1600.0,3.0
36,Manx,Short,5.0,500.0,23.0
39,Norwegian Forest Cat,Long,6.0,1000.0,14.0
40,Ocicat,Short,6.0,850.0,21.0
41,Oriental Long Hair,Long,4.0,1150.0,13.0
42,Oriental Short Hair,Short,4.0,1150.0,13.0
43,Oriental Tabby,Medium,4.0,1150.0,13.0
44,Persian,Long,6.0,1250.0,2.0
46,Ragamuffin,Medium,7.0,1000.0,32.0
47,Ragdoll,Long,7.0,1000.0,4.0
48,Russian Blue,Short,4.0,700.0,19.0
49,Scottish Fold,Short,4.0,1250.0,10.0
50,Selkirk Rex,Long,6.0,1150.0,25.0
51,Siamese,Short,6.0,500.0,9.0
54,Singapura,Short,3.0,1150.0,22.0
56,Somali,Long,5.0,1250.0,28.0
57,Sphynx (hairless cat),Bald,5.0,1450.0,8.0
60,Tonkinese,Medium,5.0,800.0,18.0
63,Turkish Angora,Long,4.0,700.0,29.0
64,Turkish Van,Long,6.0,500.0,37.0
